# → Sesion iniciada. Balon quieto frente al sensor.
209.3,73.5,56.8,1319,527,298,2
# Muestra 1/100
208.5,73.5,58.7,1391,557,318,2
# Muestra 2/100
208.9,73.5,57.8,1392,559,321,2
# Muestra 3/100
208.9,73.5,56.8,1356,539,302,2
# Muestra 4/100
208.0,74.3,104.1,1320,521,286,2
# Muestra 5/100
208.9,73.8,56.8,1299,494,273,2
# Muestra 6/100
208.4,73.0,102.8,1234,573,305,2
# Muestra 7/100
252.0,73.7,59.8,932,387,219,2
# Muestra 8/100
252.0,73.1,57.0,96,54,46,2
# Muestra 9/100
229.1,161.4,163.0,498,201,119,2
# Muestra 10/100
228.2,161.4,162.7,102,51,42,2
# Muestra 11/100
227.7,124.5,56.8,74,52,49,2
# Muestra 12/100
226.6,158.5,160.5,1003,379,222,2
# Muestra 13/100
226.9,157.8,157.8,107,56,43,2
# Muestra 14/100
225.5,156.2,155.3,61,54,52,2
# Muestra 15/100
149.4,111.5,236.5,100,68,63,2
# Muestra 16/100
142.8,57.9,212.4,94,83,82,2
# Muestra 17/100
103.0,57.0,96.8,127,118,117,2
# Muestra 18/100
99.3,57.1,29.0,104,95,94,2
# Muestra 19/100
92.0,50.3,86.1,419,209,160,2
# Muestra 20/100
85.5,50.1,78.7,320,332,348,2
# Muestra 21/100
78.2,49.6,78.6,320,341,357,2
# Muestra 22/100
77.7,9.6,99.7,1297,401,231,2
# Muestra 23/100
76.6,62.2,12.4,133,85,76,2
# Muestra 24/100
77.7,9.6,103.9,124,120,121,2
# Muestra 25/100
0.0,0.0,95.1,56,51,50,2
# Muestra 26/100
0.0,0.0,180.4,61,36,32,2
# Muestra 27/100
0.0,5.7,8.2,1197,527,276,2
# Muestra 28/100
0.0,9.6,94.0,1187,499,276,2
# Muestra 29/100
0.0,6.7,94.9,959,427,233,2
# Muestra 30/100
0.0,185.3,93.5,953,337,205,2
# Muestra 31/100
0.0,180.0,94.5,108,59,50,2
# Muestra 32/100
0.0,181.6,94.3,329,142,100,2
# Muestra 33/100
0.0,0.0,94.1,181,85,66,2
# Muestra 34/100
0.0,180.8,95.3,125,68,58,2
# Muestra 35/100
0.0,0.0,92.7,810,333,203,2
# Muestra 36/100
0.0,198.4,93.0,1405,604,323,2
# Muestra 37/100
0.0,180.8,92.1,1327,553,305,2
# Muestra 38/100
0.0,199.3,94.7,90,55,50,2
# Muestra 39/100
0.0,199.4,93.9,218,87,69,2
# Muestra 40/100
0.0,197.9,92.1,1477,422,251,2
# Muestra 41/100
0.0,197.2,92.1,1520,626,338,2
# Muestra 42/100
0.0,198.2,92.8,721,265,161,2
# Muestra 43/100
0.0,200.2,0.0,130,64,54,2
# Muestra 44/100
0.0,202.5,0.0,57,43,41,2
# Muestra 45/100
0.0,203.3,0.0,57,44,42,2
# Muestra 46/100
0.0,253.8,0.0,48,41,40,2
# Muestra 47/100
0.0,0.0,176.0,409,144,102,2
# Muestra 48/100
0.0,0.0,95.3,61,45,43,2
# Muestra 49/100
151.8,198.0,94.4,182,79,61,2
# Muestra 50/100
0.0,197.1,92.7,927,474,257,2
# Muestra 51/100
0.0,0.0,87.6,1095,397,241,2
# Muestra 52/100
0.0,83.8,49.3,311,122,90,2
# Muestra 53/100
171.3,85.0,86.6,78,68,67,2
# Muestra 54/100
71.4,50.1,82.3,156,147,150,2
# Muestra 55/100
64.2,60.2,66.4,551,572,598,2
# Muestra 56/100
56.9,50.0,58.5,529,524,547,2
# Muestra 57/100
57.7,57.9,57.8,497,530,562,2
# Muestra 58/100
57.0,58.2,61.1,449,477,505,2
# Muestra 59/100
57.0,44.3,50.0,146,146,149,2
# Muestra 60/100
190.3,164.0,67.1,66,60,59,2
# Muestra 61/100
148.8,198.8,173.8,41,35,35,2
# Muestra 62/100
150.8,0.0,10.7,142,65,46,2
# Muestra 63/100
151.7,0.0,0.0,133,60,48,2
# Muestra 64/100
0.0,197.5,171.8,53,42,40,2
# Muestra 65/100
0.0,192.5,172.1,77,47,43,2
# Muestra 66/100
0.0,191.4,84.7,57,50,49,2
# Muestra 67/100
182.4,0.0,72.6,69,58,57,2
# Muestra 68/100
178.7,156.0,69.1,90,66,62,2
# Muestra 69/100
177.6,178.0,69.0,63,56,55,2
# Muestra 70/100
163.0,164.3,58.7,209,97,77,2
# Muestra 71/100
163.6,166.2,17.5,63,55,54,2
# Muestra 72/100
83.5,74.2,23.8,35,29,27,2
# Muestra 73/100
86.1,3.7,0.0,837,356,196,2
# Muestra 74/100
145.1,224.6,0.0,1437,383,233,2
# Muestra 75/100
148.1,0.0,0.0,55,37,34,2
# Muestra 76/100
148.7,0.0,0.0,43,35,33,2
# Muestra 77/100
150.1,17.5,15.6,73,38,33,2
# Muestra 78/100
158.8,0.0,0.0,102,51,43,2
# Muestra 79/100
158.6,0.0,23.5,41,33,32,2
# Muestra 80/100
159.6,0.0,8.9,1163,410,228,2
# Muestra 81/100
159.6,0.0,12.1,1556,559,324,2
# Muestra 82/100
158.9,0.0,0.0,1306,535,293,2
# Muestra 83/100
159.4,0.0,0.0,286,121,82,2
# Muestra 84/100
160.6,0.0,0.0,170,70,53,2
# Muestra 85/100
# ⚠ Ultrasonicos en 0 — descartada
300.5,0.0,0.0,81,47,40,2
# Muestra 86/100
# ⚠ Ultrasonicos en 0 — descartada
# ⚠ Ultrasonicos en 0 — descartada
# ⚠ Ultrasonicos en 0 — descartada
# ⚠ Ultrasonicos en 0 — descartada
0.0,216.0,87.0,808,331,186,2
# Muestra 87/100
0.0,214.7,178.5,1438,559,310,2
# Muestra 88/100
0.0,0.0,123.6,242,104,80,2
# Muestra 89/100
0.0,242.4,169.4,933,351,204,2
# Muestra 90/100
0.0,0.0,169.2,637,241,156,2
# Muestra 91/100
0.0,0.0,169.1,323,115,78,2
# Muestra 92/100
0.0,0.0,169.1,152,80,66,2
# Muestra 93/100
0.0,0.0,170.0,82,54,50,2
# Muestra 94/100
325.8,0.0,177.7,58,50,49,2
# Muestra 95/100
0.0,0.0,85.6,61,49,48,2
# Muestra 96/100
0.0,0.0,85.7,58,48,46,2
# Muestra 97/100
0.0,220.9,172.0,60,48,46,2
# Muestra 98/100
# ⚠ Ultrasonicos en 0 — descartada
0.0,0.0,169.2,170,84,67,2
# Muestra 99/100
0.0,221.4,171.4,63,45,43,2
# Muestra 100/100
# ✓ 100 muestras capturadas. Guarda como datos_balon_libre.txt
# → Sesion iniciada. Balon quieto frente al sensor.
139.7,128.0,0.0,122,125,115,2
# Muestra 1/100
