# → Sesion iniciada. Balon quieto frente al sensor.
127.5,131.5,238.9,234,290,298,2
# Muestra 1/100
30.3,217.7,233.3,230,285,292,2
# Muestra 2/100
288.1,226.0,0.0,218,271,279,2
# Muestra 3/100
29.8,219.1,54.1,196,229,242,2
# Muestra 4/100
29.8,219.0,232.5,207,252,262,2
# Muestra 5/100
29.8,218.6,225.2,210,260,268,2
# Muestra 6/100
29.8,219.4,230.8,221,275,282,2
# Muestra 7/100
28.7,94.3,232.7,287,404,444,2
# Muestra 8/100
26.3,92.5,0.0,158,305,361,2
# Muestra 9/100
26.3,28.5,0.0,298,348,369,2
# Muestra 10/100
29.3,28.5,0.0,155,217,205,2
# Muestra 11/100
29.3,27.6,0.0,280,368,390,2
# Muestra 12/100
26.1,26.2,0.0,244,289,303,2
# Muestra 13/100
26.6,27.0,0.0,175,241,247,2
# Muestra 14/100
25.2,26.8,0.0,240,298,317,2
# Muestra 15/100
28.4,28.5,0.0,174,240,218,2
# Muestra 16/100
30.6,33.3,0.0,173,228,205,2
# Muestra 17/100
28.4,29.7,0.0,205,288,303,2
# Muestra 18/100
30.6,30.2,86.2,165,209,186,2
# Muestra 19/100
36.6,25.3,0.0,139,174,157,2
# Muestra 20/100
38.6,26.8,30.1,145,175,153,2
# Muestra 21/100
37.2,27.0,25.0,138,167,147,2
# Muestra 22/100
37.2,23.8,90.1,150,186,164,2
# Muestra 23/100
12.7,83.9,0.0,98,128,120,2
# Muestra 24/100
8.4,7.9,0.0,103,138,130,2
# Muestra 25/100
22.8,22.0,0.0,155,195,174,2
# Muestra 26/100
40.0,76.0,0.0,110,143,135,2
# Muestra 27/100
16.7,10.7,81.9,121,152,157,2
# Muestra 28/100
45.5,16.3,10.0,90,111,115,2
# Muestra 29/100
40.3,16.6,23.2,128,154,133,2
# Muestra 30/100
32.2,29.7,0.0,153,192,171,2
# Muestra 31/100
32.7,10.0,0.0,110,135,122,2
# Muestra 32/100
30.6,31.2,0.0,145,202,208,2
# Muestra 33/100
33.5,29.9,88.4,237,372,408,2
# Muestra 34/100
33.7,32.0,0.0,122,166,169,2
# Muestra 35/100
38.9,36.7,90.4,159,199,178,2
# Muestra 36/100
36.3,29.4,84.5,145,177,183,2
# Muestra 37/100
38.0,36.7,88.7,165,201,176,2
# Muestra 38/100
40.7,31.0,85.9,156,187,163,2
# Muestra 39/100
36.1,29.9,24.1,127,152,138,2
# Muestra 40/100
32.9,43.1,28.2,96,109,109,2
# Muestra 41/100
10.0,40.1,30.6,114,117,101,2
# Muestra 42/100
16.7,44.7,45.5,122,120,103,2
# Muestra 43/100
6.1,36.9,27.9,102,113,102,2
# Muestra 44/100
